#,Season,TG,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
1,2023,4860,2430,2430,4.33,20629,4860,35,21,1241,2506,738,43087.1,184104,40839,22432,20738,5868,15819,474,2112,1613,208,41843
2,2022,4860,2430,2430,3.97,20878,4860,36,16,1232,2472,667,43075.1,182052,39675,20817,18993,5215,14853,475,2046,1607,122,40812
